Shot,CELMA start,CELMA end,quantity,probe,Ptot,nbar,Tdiv,impN,impNe,impAr,DWmhd,ELMdt,EED,bump,detachStart,detachMax,detachEnd,HRpeak,HRend,EQU,step1,step2,sepProbe
34189,2.868658,3.200439,jsat,ua3,15.80,7.37,24.40,N/A,N/A,N/A,16543.8,0.000499487,0.0060398766869,0.00223802334877 | 25062.5062106,0.00267886058066 | 8743.47057175,0.00324009782937 | 5460.54800907,0.00341509358583 | 6908.63294463,0.00404346189588 | 63790.7691779,0.00459838455929 | 27620.2753072,0.00594488808081 | 18181.8729395,,,ua3
34189,2.868658,3.200439,jsat,ua4,15.80,7.37,24.40,N/A,N/A,N/A,16543.8,0.000499487,0.0060398766869,0.0024225945128 | 12153.0852215,0.00194877219938 | 10539.4075978,0.00291488199309 | 8925.72997418,0.00304312665597 | 10539.4075978,0.00338511242366 | 48460.8317533,0.00373516787344 | 19414.6345278,0.00574624459036 | 9564.20121242,,,ua3
34189,4.251407,4.493134,jsat,ua3,15.09,7.44,20.13,N/A,N/A,N/A,17843.8,0.000498533,0.00725875582014,,0.00219968782659 | 7983.45135498,0.00289631716559 | 2800.77855826,0.00340375659637 | 6193.92884012,0.0055439908633 | 22365.0446586,0.00598301327702 | 12899.0256429,0.00709886191192 | 8560.43359405,,,ua3
34189,4.251407,4.493134,jsat,ua4,15.09,7.44,20.13,N/A,N/A,N/A,17843.8,0.000498533,0.00725875582014,0.00199522635233 | 13687.8605609,0.00241595616548 | 10138.10343,0.00264139952111 | 9192.75671173,0.00295237644367 | 10696.7515714,0.00374242592262 | 59576.5845097,0.00504516708472 | 17840.7271547,0.00691578395197 | 11518.9844504,,,ua3
34189,4.251407,4.493134,te,ua3,15.09,7.44,20.13,N/A,N/A,N/A,17843.8,0.000498533,0.00725875582014,,0.00251097858701 | 7.0937676652,0.00354959752992 | 5.21284442064,,,,0.0069139790602 | 16.2296805673,0.00395741277095 | 8.73945556202,0.00581299830814 | 14.6569184895,ua3
34189,4.251407,4.493134,te,ua4,15.09,7.44,20.13,N/A,N/A,N/A,17843.8,0.000498533,0.00725875582014,0.002114197804 | 6.70436211842,0.00105989011876 | 9.88689096748,,,,,0.00683975563872 | 15.3430011478,0.00588722172963 | 7.8818522392,0.00568929260566 | 13.9708358312,ua3
34189,5.255079,5.496806,jsat,ua3,14.92,7.50,19.55,N/A,N/A,N/A,33669.6,0.000491117,0.0109249918084,0.00152242593686 | 34554.087736,0.00209037335735 | 12558.3629232,0.00286568171319 | 3552.84142745,,,,0.0106799548624 | 20243.0345524,,,ua3
34189,5.255079,5.496806,jsat,ua4,14.92,7.50,19.55,N/A,N/A,N/A,33669.6,0.000491117,0.0109249918084,0.00191904817321 | 14456.2078709,0.00147931599738 | 15923.4545325,0.00253261804207 | 10404.4103128,0.00274612521329 | 11439.231104,0.00350051721827 | 49382.6601142,0.00814066474293 | 17460.3297667,0.0107852904267 | 12292.4494504,,,ua3
34189,5.255079,5.496806,te,ua3,14.92,7.50,19.55,N/A,N/A,N/A,33669.6,0.000491117,0.0109249918084,0.00154206301026 | 13.4970027685,0.00191932396178 | 10.1591107848,0.00490311512378 | 5.63758636372,,,,0.0107506598723 | 6.31180010756,,,ua3
34189,5.255079,5.496806,te,ua4,14.92,7.50,19.55,N/A,N/A,N/A,33669.6,0.000491117,0.0109249918084,,0.000862837714467 | 10.9095514686,0.00277249328877 | 5.3224669221,0.00321066768424 | 5.58695436392,,,0.0110251629083 | 12.2052447799,0.00450829940924 | 8.91578140918,0.0107650506295 | 12.0210746339,ua3
34189,6.259563,6.50129,jsat,ua4,14.91,7.20,19.05,N/A,N/A,N/A,27682.7,0.000414434,0.0082689160886,,0.00124541533096 | 14094.0785281,0.0026251440716 | 9492.78660576,0.00290378464201 | 11638.6777976,0.0035993513963 | 42496.2371432,0.00694813419388 | 21885.6969003,,,,ua4
34189,6.259563,6.50129,te,ua4,14.91,7.20,19.05,N/A,N/A,N/A,27682.7,0.000414434,0.0082689160886,0.00196571499266 | 7.61411658103,0.000755014461493 | 9.73929252995,0.00260349275579 | 6.02605248002,0.00331353301903 | 6.41799019979,,,0.00872706385054 | 8.22034845147,0.00394301334828 | 7.81982439554,,ua4
34189,2.868658,3.200439,te,ua3,15.80,7.37,24.40,N/A,N/A,N/A,16543.8,0.000499487,0.0060398766869,0.00208709800636 | 11.65850002,0.000821691537942 | 5.09418357184,0.000896127212554 | 5.43081518456,0.00433257419051 | 9.47039453727,,,0.00589266838266 | 17.5401015233,0.00404289227584 | 9.89877718095,0.00545524614011 | 20.997904885,ua3
34189,2.868658,3.200439,te,ua4,15.80,7.37,24.40,N/A,N/A,N/A,16543.8,0.000499487,0.0060398766869,,0.00121199637087 | 10.0007626445,0.00293021774229 | 5.49668108646,0.0035720820477 | 7.45999868868,,,0.00576429552158 | 16.5329606985,0.00401644964376 | 13.5115382241,,ua3
32225,2.7,3.0,jsat,ua3,6.84,7.55,17.97,N/A,N/A,N/A,33938.5,0.00177977,0.012533177029,0.00220914577151 | 23279.1729665,0.00304687440955 | 10233.6895728,0.00350269734496 | 5885.19510821,0.00395852028037 | 11103.3884657,0.00702009697067 | 87055.4027022,0.00969046042671 | 28881.008727,0.0129581420242 | 24927.4091365,,,ua3
32225,2.7,3.0,te,ua3,6.84,7.55,17.97,N/A,N/A,N/A,33938.5,0.00177977,0.012533177029,0.00255777909016 | 15.9944399428,0.00293294795096 | 9.98285829106,0.00370480487681 | 4.38680461344,,,,0.0132880296285 | 27.4303429202,0.00460530462364 | 8.99001005794,0.00994398169412 | 27.533986322,ua3
32225,2.7,3.0,te,ua4,6.84,7.55,17.97,N/A,N/A,N/A,33938.5,0.00177977,0.012533177029,0.00256350386048 | 6.73353680083,,0.0030528247917 | 5.7406885677,,,,0.0130417290296 | 15.0964090616,0.00454135284057 | 8.56375275101,0.00969734658089 | 14.0768328727,ua3
32225,2.7,3.0,jsat,ua4,6.84,7.55,17.97,N/A,N/A,N/A,33938.5,0.00177977,0.012533177029,,0.00204759334933 | 8505.7420669,0.00293067019837 | 5600.12433501,0.00301403103501 | 8059.4423405,0.00424221226056 | 21974.6246271,0.00523885112391 | 16321.5818232,0.0136677430517 | 5090.29715467,,,ua3
32225,3.52,3.7,jsat,ua3,6.96,7.75,16.13,N/A,N/A,N/A,25768.5,0.00156108,0.00876932484763,0.00248704348812 | 26235.5029946,0.00308026793309 | 10413.1973965,0.00343299598146 | 6861.25124184,0.00384985640225 | 8798.67641712,0.00999584191718 | 78771.2444768,,,,,ua3
32225,3.52,3.7,te,ua3,6.96,7.75,16.13,N/A,N/A,N/A,25768.5,0.00156108,0.00876932484763,0.0026294686331 | 10.6138178968,0.00334771527142 | 5.50839631351,0.00374204675912 | 5.29567041421,0.00458704280419 | 6.04021106176,,,,0.00505955458308 | 11.8609976009,,ua3
32225,4.52,4.95,jsat,ua3,9.43,7.80,21.37,N/A,N/A,N/A,31469.0,0.00203277,0.00938178433312,0.0028241908006 | 27252.1497779,0.00326493373551 | 12960.132884,0.00362902572521 | 8876.69948575,0.00393562950601 | 12960.132884,0.00591097712311 | 84048.1353362,0.00728529895097 | 44782.9695526,0.0100181458041 | 34563.2688692,,,ua3
32225,4.52,4.95,jsat,ua4,9.43,7.80,21.37,N/A,N/A,N/A,31469.0,0.00203277,0.00938178433312,,0.00233305170145 | 12312.9095645,0.00320574331892 | 10200.5169332,0.00325863371998 | 10728.615091,0.0039995640062 | 40479.9376859,0.00486838815025 | 24343.5681858,0.0100023490014 | 9820.8356357,,,ua3
32225,4.52,4.95,te,ua3,9.43,7.80,21.37,N/A,N/A,N/A,31469.0,0.00203277,0.00938178433312,0.00294129131363 | 12.1919149663,0.00319252071866 | 9.6119803169,0.00376109253004 | 5.64285008707,0.00409373558195 | 6.56330723184,,,0.00973127503694 | 33.1372773743,0.0046140586417 | 8.94170487827,0.00750780648369 | 32.0943647667,ua3
32225,4.52,4.95,te,ua4,9.43,7.80,21.37,N/A,N/A,N/A,31469.0,0.00203277,0.00938178433312,,0.00231132554057 | 7.7234567523,0.00341102418456 | 5.78007054326,0.00392572761625 | 6.91929694166,,,0.0101070604625 | 14.9905980023,0.00405273971655 | 7.89879227068,0.00751831641943 | 14.3648504377,ua3
32225,5.52,5.95,jsat,ua3,9.43,7.63,25.40,N/A,N/A,N/A,32203.7,0.00187684,0.00932121276855,0.00270304133669 | 23721.783586,0.00315719583558 | 14106.8526222,0.00343764675364 | 12788.1455837,0.00364009528907 | 21157.8019957,0.0045327585757 | 100641.231296,0.00577206242297 | 39105.6731281,0.0111306285876 | 25827.4122283,,,ua3
32225,5.52,5.95,jsat,ua4,9.43,7.63,25.40,N/A,N/A,N/A,32203.7,0.00187684,0.00932121276855,,0.00228132644487 | 8337.89404394,0.00310312982381 | 8337.89404394,0.003200448645 | 8337.89404394,0.0035572843227 | 32054.7237546,0.00416282365455 | 18593.8204053,0.00762304840797 | 7055.90324876,,,ua3
32225,5.52,5.95,te,ua3,9.43,7.63,25.40,N/A,N/A,N/A,32203.7,0.00187684,0.00932121276855,0.00288350011781 | 13.3886644831,0.00333248018852 | 7.84167100581,0.00374679187095 | 6.08202989638,0.0039604213322 | 6.9618504511,,,0.00790685429567 | 36.1255097025,0.0047977415599 | 15.2449618336,0.00630855384526 | 36.5424265395,ua3
32225,5.52,5.95,te,ua4,9.43,7.63,25.40,N/A,N/A,N/A,32203.7,0.00187684,0.00932121276855,,0.00230310909892 | 8.04470651843,0.00326012765667 | 6.01351966746,0.00385028910062 | 7.87334052274,,,0.0097570805891 | 15.7241992895,0.00378379985948 | 7.90469081921,0.00611445865319 | 14.2405997498,ua3
32239,2.11,2.47,jsat,ua4,8.53,7.33,30.41,N/A,N/A,N/A,31545.5,0.0017642,0.00904580085508,,0.00197483483352 | 8767.78792709,0.0030133547384 | 6206.79077625,0.00313389722736 | 7585.78924209,0.00344916219849 | 31225.7629422,0.0042373246263 | 12510.7837629,0.0108749986688 | 6681.71866238,,,ua3
32239,2.11,2.47,te,ua4,8.53,7.33,30.41,N/A,N/A,N/A,31545.5,0.0017642,0.00904580085508,0.00211682237882 | 8.50106361862,0.00257290829464 | 5.96000296594,0.00303781211504 | 5.40395477187,0.00307101953079 | 5.58930416989,,,,0.00342499168543 | 7.6367856599,0.00517482192659 | 16.1835343628,ua3
32239,3.2,3.4,jsat,ua4,8.45,7.96,22.46,N/A,N/A,N/A,37924.5,0.00177349,0.0122627111582,,0.00199622081046 | 8593.40595412,0.00307010127057 | 5014.9050324,0.00307010127057 | 5462.21764761,0.00383420852103 | 25591.2853323,0.00540372611658 | 11053.6253378,0.0130861017158 | 5360.6706407,,,ua3
32239,3.2,3.4,te,ua4,8.45,7.96,22.46,N/A,N/A,N/A,37924.5,0.00177349,0.0122627111582,,0.00196935884758 | 8.37083025088,0.0030943127793 | 5.12033044233,0.00322106815189 | 5.66208041042,,,0.0137710208917 | 15.4301076914,0.00369875022294 | 7.69638711618,0.00748265731202 | 15.7149656632,ua3
32239,3.9,4.2,jsat,ua4,8.39,8.11,18.67,N/A,N/A,N/A,36321.2,0.00174109,0.0128584737363,0.00246476985356 | 7167.09168561,0.00201573730601 | 8307.98359455,0.00290257658742 | 4885.30786773,0.00307096379275 | 6482.55654025,0.00407006121104 | 24280.4703197,0.00766240623691 | 9905.23226706,0.0126900567543 | 5113.48624952,,,ua3
32239,3.9,4.2,te,ua4,8.39,8.11,18.67,N/A,N/A,N/A,36321.2,0.00174109,0.0128584737363,0.00266245806892 | 6.02174581909,0.00201290238249 | 7.42705530006,0.00317029251468 | 4.76836168741,0.00353640571976 | 5.33808174726,,,0.0123509850589 | 15.3708643894,0.00457855889886 | 8.61269414158,0.00935238164212 | 16.1960319006,ua3
32239,4.56,4.95,jsat,ua4,8.50,8.39,14.90,N/A,N/A,N/A,34639.0,0.00185136,0.0147421176617,,0.00235763392431 | 6962.53906579,0.00308173402553 | 4552.1195003,0.00380959948076 | 8260.45729337,0.00472068771832 | 19756.3044519,0.0106961344297 | 7333.3728451,0.0144766277832 | 4898.81310224,,,ua3
32239,4.56,4.95,te,ua4,8.50,8.39,14.90,N/A,N/A,N/A,34639.0,0.00185136,0.0147421176617,,0.00238512768971 | 6.5730817084,0.00365931339238 | 4.42059618314,0.00448484215748 | 5.30465273816,,,0.0140997157219 | 16.5065945805,0.00527447836758 | 7.22651481428,0.0122075088135 | 16.7897006112,ua3
32239,5.8,6.1,jsat,ua4,8.75,9.02,10.87,N/A,N/A,N/A,36609.4,0.00209201,0.0203353246053,,0.00247803864402 | 6861.75899634,0.00359359807193 | 3926.14263399,0.00584463763181 | 6568.19736011,0.0111610261765 | 14288.7076591,0.0168304951502 | 7014.15661037,0.0209912057493 | 4284.74669773,,,ua3
32239,5.8,6.1,te,ua4,8.75,9.02,10.87,N/A,N/A,N/A,36609.4,0.00209201,0.0203353246053,,0.00265967758317 | 6.14826658693,0.00533485778829 | 4.0828636507,0.00717980965389 | 5.02576499115,,,,0.010076094827 | 7.61529065099,0.0184515512278 | 14.2833733958,ua3
32238,2.46,2.72,jsat,ua4,8.54,7.49,27.87,N/A,N/A,N/A,32203.3,0.00168732,0.0101415377397,,0.00205131551897 | 8126.74024633,0.00302214846557 | 6162.59039721,0.00307118043257 | 6489.94870539,0.00349285534877 | 24985.693118,0.00454213944257 | 9436.17347908,0.0117716956305 | 5993.27600877,,,ua3
32238,2.46,2.72,te,ua4,8.54,7.49,27.87,N/A,N/A,N/A,32203.3,0.00168732,0.0101415377397,,0.00228841221893 | 7.59547182921,0.00306446670394 | 5.49922057163,0.00338782273936 | 6.54734620042,,,0.0104983524617 | 15.4791808092,0.00364105713982 | 7.24609661961,0.00549743444796 | 15.5437578475,ua3
32238,3.58,3.84,te,ua4,8.49,7.84,22.15,N/A,N/A,N/A,35470.8,0.00170907,0.0116495435888,,0.0026079738018 | 5.92896021982,0.00309404663635 | 4.81503477935,0.00345548541076 | 5.76187140375,,,0.0130697437801 | 15.4455899585,0.00387244662261 | 7.22748155913,0.00711339895429 | 15.4455899585,ua3
32238,3.58,3.84,jsat,ua4,8.49,7.84,22.15,N/A,N/A,N/A,35470.8,0.00170907,0.0116495435888,,0.00199251507413 | 7873.89251126,0.0029946923156 | 4755.1411555,0.00315412960402 | 6704.36075285,0.00368938335799 | 28145.7763237,0.00560860682956 | 9116.02864351,0.00930923245375 | 5773.8530957,,,ua3
32238,4.63,5.06,jsat,ua4,8.51,7.99,19.76,N/A,N/A,N/A,37448.3,0.00174424,0.0130962169532,,0.00206962151483 | 8437.93193851,0.00306244248581 | 4642.77900621,0.00320722887741 | 7931.91154754,0.00413799853769 | 25136.6048406,0.00561592710247 | 10715.0236979,0.011726226848 | 4965.08265835,,,ua3
32238,4.63,5.06,te,ua4,8.51,7.99,19.76,N/A,N/A,N/A,37448.3,0.00174424,0.0130962169532,,0.00197028797904 | 8.83978881364,0.0031832740009 | 5.24220034297,0.0034280968677 | 5.49917094802,,,0.0134323290302 | 14.4068277346,0.00415160610173 | 7.5549357884,0.00811260943598 | 15.6495098474,ua3
32238,5.72,6.08,jsat,ua4,8.46,8.16,16.52,N/A,N/A,N/A,36619.7,0.00173371,0.0140155509666,0.00248247760128 | 6869.62649495,0.00194474850193 | 9228.42169416,0.00306265899795 | 4196.32526918,0.00323246818722 | 5454.34937543,0.00447773557519 | 22437.6748097,0.0087394973349 | 7357.6661749,0.0131141653773 | 5161.01054335,,,ua3
32238,5.72,6.08,te,ua4,8.46,8.16,16.52,N/A,N/A,N/A,36619.7,0.00173371,0.0140155509666,0.0027835055001 | 5.77879798619,0.00205563741123 | 8.16407805109,0.00332634180726 | 4.67136283204,0.00375408303825 | 5.17474244756,,,0.0125377385453 | 15.7768949832,0.00452306664327 | 7.13112272012,0.00981186839318 | 15.3598936742,ua3
32238,6.4,6.8,jsat,ua4,8.48,7.93,20.94,N/A,N/A,N/A,37925.1,0.00177805,0.013036664327,,0.00203234997962 | 8132.6969067,0.00315919788981 | 4977.36820401,0.00331643248193 | 6379.73651632,0.00377503337561 | 27765.853279,0.00515083605666 | 11288.0256094,0.00940927292656 | 5205.53366577,,,ua3
32238,6.4,6.8,te,ua4,8.48,7.93,20.94,N/A,N/A,N/A,37925.1,0.00177805,0.013036664327,,0.00203055988427 | 8.48050973108,0.00321210019458 | 4.84053190976,0.0034596610215 | 5.92613933016,,,0.0127897381314 | 15.3345385155,0.00376348567272 | 7.20332453062,0.00707218346105 | 14.9267050443,ua3
32931,2.5,2.77,te,ua4,12.45,6.73,44.15,N/A,N/A,N/A,30799.6,0.00136885,0.00660088004136,,No detachment,0.00294069365274 | 10.3963024144,,,,0.00510367000542 | 18.04410451,0.00396495742581 | 17.627992897,,ua3
32931,2.5,2.77,te,ua4,12.45,6.73,44.15,N/A,N/A,N/A,30799.6,0.00136885,0.00660088004136,,,,,,,0.00762050941694 | 7721.76908931,,,ua3
32931,3.48,3.76,jsat,ua4,12.61,7.22,39.07,N/A,N/A,N/A,34052.9,0.0014068,0.00693267897556,,0.0018182364253 | 10188.1877892,0.00274707073992 | 6819.81116483,0.00318615605228 | 8503.999477,0.0035999095197 | 14679.3566216,0.00420787379835 | 11030.2819453,0.00830843684568 | 7116.13171729,,,ua3
32931,3.48,3.76,te,ua4,12.61,7.22,39.07,N/A,N/A,N/A,34052.9,0.0014068,0.00693267897556,0.00256181513221 | 8.72441622526,0.00181049484339 | 9.40016990841,0.00316422509352 | 6.19033991346,0.00355680686606 | 7.54184727976,,,0.00725594997308 | 16.4684708221,0.00397219093059 | 12.2446597154,0.00475103121631 | 17.7539785502,ua3
32931,4.51,4.79,te,ua4,12.69,7.70,26.48,N/A,N/A,N/A,32952.3,0.00173035,0.00693579912186,0.00249155969751 | 7.8873728931,0.00213607070031 | 8.51856111548,0.0030289267863 | 6.73019448539,0.00353322513116 | 7.09838761512,,,0.00643309197525 | 15.0106116301,0.00419169372597 | 10.2060137476,0.00540133722558 | 15.0291421598,ua3
32931,4.51,4.79,jsat,ua4,12.69,7.70,26.48,N/A,N/A,N/A,32952.3,0.00173035,0.00693579912186,,0.00214067370632 | 13601.4977065,0.00289458669089 | 10173.1098336,0.00328809746285 | 11519.9437004,0.00375256919369 | 36210.3520473,0.00441702180864 | 15704.7861699,0.00654262097352 | 8989.95258975,,,ua3
32931,5.7,6.0,jsat,ua4,12.29,7.85,21.59,N/A,N/A,N/A,34080.6,0.00125534,0.00805605479649,,0.00191114993759 | 7587.17275279,0.00227830865912 | 6635.78905601,0.00275721133936 | 7723.08470948,0.00329198599897 | 19683.3368976,0.00499346609339 | 11256.7955832,0.00846086156481 | 8946.29231962,,,ua3
32931,5.7,6.0,te,ua4,12.29,7.85,21.59,N/A,N/A,N/A,34080.6,0.00125534,0.00805605479649,,0.0020239100651 | 7.77189300462,0.00273447649634 | 6.12632657891,0.00327352689245 | 6.89659171435,,,0.00854087838338 | 11.6861566785,,,ua3
32931,6.35,6.5,te,ua4,12.82,7.79,25.74,N/A,N/A,N/A,33280.2,0.00186961,0.00687313079834,0.00244998979083 | 7.94021053361,0.00217685115363 | 8.60910661976,0.00347173061889 | 6.15648763723,0.00369428802698 | 7.60576249054,,,0.00693578748806 | 15.7898166475,0.00385614796014 | 8.60910661976,0.00587939712461 | 16.1899289294,ua3
32931,6.35,6.5,jsat,ua4,12.82,7.79,25.74,N/A,N/A,N/A,33280.2,0.00186961,0.00687313079834,,0.00214436131592 | 12338.3502896,0.00273621786434 | 9900.15875147,0.00334155392666 | 12246.5436613,0.00364676538666 | 34302.5618138,0.00430297002565 | 16470.036499,0.00682491922844 | 8295.98627199,,,ua3
32228,3.72,4.0,te,ua4,11.99,7.91,24.65,N/A,N/A,N/A,14745.8,0.00224351,0.00788799199191,0.0034452373403 | 7.2298596859,0.00291144026511 | 7.28881718534,0.00387546184866 | 5.63800720094,0.00401090289759 | 6.4044546937,,,0.00781926287554 | 15.9007907419,0.00449689724963 | 9.29337216639,0.00650461162198 | 14.9758879586,ua3
32228,3.72,4.0,jsat,ua4,11.99,7.91,24.65,N/A,N/A,N/A,14745.8,0.00224351,0.00788799199191,0.00332641768496 | 14698.9854267,0.00290852606083 | 13239.4885519,0.00370743651872 | 12363.790427,0.00374430930909 | 14990.8848016,0.00413147360791 | 45056.5204222,0.00480747476458 | 20536.9729258,0.0082310520963 | 11779.9916771,,,ua3
32228,4.42,4.72,jsat,ua4,11.94,7.97,23.43,N/A,N/A,N/A,32596.8,0.00172503,0.00735985315763,,0.00232692413531 | 14970.6814036,0.00312396663384 | 11896.2970057,0.00358253903025 | 13945.8866043,0.00398651947471 | 39309.5578869,0.0047180516309 | 18301.2645013,0.0079280584058 | 11640.0983059,,,ua3
32228,4.42,4.72,te,ua4,11.94,7.97,23.43,N/A,N/A,N/A,32596.8,0.00172503,0.00735985315763,,0.00241427125843 | 7.74992584734,0.00366988615338 | 6.48879026505,0.00382274361885 | 7.1894211441,,,0.00828367714031 | 15.0201367041,0.00443417348073 | 9.71169230867,0.00692180521088 | 14.9335064264,ua3
32228,5.22,5.5,te,ua4,11.81,8.03,21.24,N/A,N/A,N/A,33266.0,0.00144255,0.00727126092622,,0.00232665881101 | 7.07729055486,0.00294572369668 | 7.07729055486,0.00346401057771 | 7.34618594074,,,,,,ua3
32228,5.22,5.5,jsat,ua4,11.81,8.03,21.24,N/A,N/A,N/A,33266.0,0.00144255,0.00727126092622,,0.00224402471477 | 12745.6761614,0.00246830393238 | 13095.860195,0.00283676264702 | 13212.5882062,0.00349534460697 | 18706.8532315,0.0046382465605 | 14048.5525031,0.00790694614758 | 10237.2155436,,,ua3
32228,6.2,6.48,jsat,ua4,11.52,7.96,21.79,N/A,N/A,N/A,34890.2,0.00128744,0.00746375719706,,0.00157721016596 | 10878.7378319,0.00186549794596 | 9165.36931358,0.00229792961596 | 10255.6947343,0.00292692113596 | 20691.6666185,0.00482291495683 | 12232.4640619,0.00826959245093 | 9418.43392581,,,ua3
32228,6.2,6.48,te,ua4,11.52,7.96,21.79,N/A,N/A,N/A,34890.2,0.00128744,0.00746375719706,,0.00188345325289 | 7.46274322283,0.00217137806806 | 6.35584561494,0.00253128408704 | 7.46274322283,,,0.00760676985591 | 13.0896558915,,,ua3
34165,2.0,2.33,jsat,ua3,nan,6.50,17.97,N/A,N/A,N/A,5778.74,0.00140095,0.00943303108215,0.00240778847185 | 20046.6784375,0.00283098340833 | 9149.06180233,0.00354195090163 | 3700.25348475,0.00374508447114 | 7105.75868324,0.0060134093307 | 52739.528343,0.00777390026647 | 21481.5482035,0.0102961420879 | 22154.6099785,,,ua3
34165,2.0,2.33,jsat,ua4,nan,6.50,17.97,N/A,N/A,N/A,5778.74,0.00140095,0.00943303108215,,0.00206923252266 | 9149.06180233,0.00281405561087 | 6084.10712369,0.00311875596514 | 7786.85972294,0.00366044548384 | 37074.2044299,0.00506545267297 | 15619.5216795,0.0080955284182 | 7786.85972294,,,ua3
34165,2.0,2.33,te,ua3,nan,6.50,17.97,N/A,N/A,N/A,5778.74,0.00140095,0.00943303108215,0.00217079930742 | 9.38221534585,0.00266170543374 | 7.65588055312,0.00354195090163 | 5.75082963304,0.00384665125589 | 6.8394301588,,,,0.00410056821779 | 11.3299073276,,ua3
34165,2.0,2.33,te,ua4,nan,6.50,17.97,N/A,N/A,N/A,5778.74,0.00140095,0.00943303108215,,0.00216555732279 | 6.82289832184,0.00305099479569 | 5.14560410472,0.00356454852997 | 6.57130418927,,,,0.00379476227293 | 7.07449245441,0.00682295843024 | 15.0416399857,ua3
34165,3.52,3.7,jsat,ua3,nan,-18.36,3.77,N/A,N/A,N/A,23515.6,0.000813144,0.00854847544716,0.00141080132341 | 34767.8235751,0.00192582922148 | 7544.18144035,0.00276613789728 | 3687.4988046,,,,0.00841035965629 | 6863.59038698,,,ua3
34165,3.52,3.7,jsat,ua4,nan,-18.36,3.77,N/A,N/A,N/A,23515.6,0.000813144,0.00854847544716,,0.00102301328786 | 10266.5456538,0.00214073217871 | 3687.4988046,0.00248005473255 | 7090.45407144,0.00300272567499 | 18433.6382942,,0.00843046238485 | 13896.3646051,,,ua3
34165,3.52,3.7,te,ua3,nan,-18.36,3.77,N/A,N/A,N/A,23515.6,0.000813144,0.00854847544716,0.00238818599751 | 6.59542717592,0.00195068803616 | 6.22468544907,0.00339779667756 | 3.55534501576,,,,,,,ua4
33228,4.48,4.72,jsat,ua4,6.34,5.29,4.47,N/A,N/A,N/A,1319.67,0.000881104,0.00449692635309,,,,,,,0.00407586757747 | 1140.60607605,,,ua3
33228,4.48,4.72,te,ua4,6.34,5.29,4.47,N/A,N/A,N/A,1319.67,0.000881104,0.00449692635309,,,,,,,0.00423791937242 | 2.87928979379,,,ua3
30506,3.21,3.27,jsat,ua4,18.97,11.16,-0.47,N/A,N/A,N/A,24243.6,0.000789491,0.0052349133925,,,,,,,0.0046332300305 | 14564.2300374,,,ua3
30506,3.21,3.27,jsat,ua3,18.97,11.16,-0.47,N/A,N/A,N/A,24243.6,0.000789491,0.0052349133925,,,,,,,0.0049252280609 | 5428.94808697,,,ua3
30506,3.21,3.27,te,ua3,18.97,11.16,-0.47,N/A,N/A,N/A,24243.6,0.000789491,0.0052349133925,,,,,,,0.00458244776434 | 3.46233085967,,,ua3
30506,3.21,3.27,te,ua4,18.97,11.16,-0.47,N/A,N/A,N/A,24243.6,0.000789491,0.0052349133925,,,,,,,0.00472209899627 | 3.27488202447,,,ua3
30506,3.53,3.71,jsat,ua3,18.99,12.60,-2.39,N/A,N/A,N/A,28943.3,0.000865859,0.00587471069828,,,,,,,0.00554275167884 | 1989.86348893,,,ua3
30506,3.53,3.71,jsat,ua4,18.99,12.60,-2.39,N/A,N/A,N/A,28943.3,0.000865859,0.00587471069828,,,,,,,0.00575020319966 | 7000.61404686,,,ua3
30506,3.53,3.71,te,ua3,18.99,12.60,-2.39,N/A,N/A,N/A,28943.3,0.000865859,0.00587471069828,,,,,,,0.005877865674 | 2.2525998965,,,ua3
30506,3.53,3.71,te,ua4,18.99,12.60,-2.39,N/A,N/A,N/A,28943.3,0.000865859,0.00587471069828,,,,,,,0.00598957033905 | 2.53061024531,,,ua4
